inventory_model,scraped_model,confidence,notes
ECAM290.61.SB,ECAM 290.61 SB,1.0,Space variation
ECAM290.42.TB,ECAM 290.42 TB,1.0,Space variation
ECAM290.81.TB,ECAM 290.81 TB,1.0,Space variation
EC9255.M,EC 9255 M,1.0,Space variation
EC9255.T,EC 9255 T,1.0,Space variation
EC9455.M,EC 9455 M,1.0,Space variation
ECAM350.55.B,ECAM 350.55 B,1.0,Space variation
ECAM380.85.SB,ECAM 380.85 SB,1.0,Space variation
ECAM450.65.G,ECAM 450.65 G,1.0,Space variation
ECAM450.65.S,ECAM 450.65 S,1.0,Space variation
EC890.GR,EC 890 GR,1.0,Space variation
EC685.BK,EC 685 BK,1.0,Space variation
EC685.M,EC 685 M,1.0,Space variation
ECAM22.110.SB,ECAM 22.110 SB,1.0,Space variation
ECAM22.114.B,ECAM 22.114 B,1.0,Space variation

