index,name,regular_price,regular_price_str,discount_price,discount_price_str,final_price,has_discount,scraped_at,url,store,page
1,DeLonghi Dedica Duo EC890.M,849.99,849.99₾,,,849.99,False,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
2,DELONGHI ECAM310.60.B,2599.99,2599.99₾,1799.99,1799.99₾,1799.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
3,DeLonghi Dedica Arte Grey EC885.GY,819.99,819.99₾,699.99,699.99₾,699.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
4,Delonghi Eletta Explore Silver ECAM450.65.S,3299.99,3299.99₾,2639.99,2639.99₾,2639.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
5,DeLonghi Dedica Duo ‎EC890.WI,849.99,849.99₾,,,849.99,False,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
6,DeLonghi Eletta Explore ECAM450.55.S,3299.99,3299.99₾,2299.99,2299.99₾,2299.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
7,Delonghi Eletta Explore Titanium ECAM450.86.T,3799.99,3799.99₾,2659.99,2659.99₾,2659.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
8,Delonghi Magnifica Plus MC INT1 DL ECAM320.61.G,2599.99,2599.99₾,1799.99,1799.99₾,1799.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
9,DeLonghi Magnifica Evo ECAM290.61.B,2099.99,2099.99₾,1459.99,1459.99₾,1459.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
10,DeLonghi Dedica Duo Espresso Machine with Cold Brew- Pistach ...,849.99,849.99₾,,,849.99,False,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
11,DeLonghi PrimaDonna Aromatic ECAM630.55.SSM,4999.99,4999.99₾,,,4999.99,False,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
12,DeLonghi PrimaDonna Aromatic ECAM630.55.SM,4999.99,4999.99₾,,,4999.99,False,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
13,DeLonghi Dinamica Plus ECAM380.95.TB,2999.99,2999.99₾,2549.99,2549.99₾,2549.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
14,DeLonghi Maestosa EPAM960.75.GLM,8699.99,8699.99₾,6959.99,6959.99₾,6959.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
15,DeLonghi Dedica Arte Beige Gold EC885.BG,819.99,819.99₾,,,819.99,False,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
16,DeLonghi Rivelia Fully Automatic Coffee Machine EXAM440.55.B ...,2999.99,2999.99₾,1999.99,1999.99₾,1999.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t,ELITE,1
17,DeLonghi Rivelia Arctic Coffee Machine Onyx Black EXAM440.55 ...,2999.99,2999.99₾,,,2999.99,False,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t?page=2,ELITE,2
18,DeLonghi ECAM320.70.TB,2649.99,2649.99₾,,,2649.99,False,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t?page=2,ELITE,2
19,DeLonghi PrimaDonna Aromatic ECAM630.75.TSM,5099.99,5099.99₾,,,5099.99,False,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t?page=2,ELITE,2
20,DeLonghi Dedica EC685.M,799.99,799.99₾,549.99,549.99₾,549.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t?page=2,ELITE,2
21,DeLonghi Dedica EC685.BK,799.99,799.99₾,549.99,549.99₾,549.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t?page=2,ELITE,2
22,DeLonghi PrimaDonna Soul ECAM610.74.MB,4299.99,4299.99₾,,,4299.99,False,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t?page=2,ELITE,2
23,DeLonghi Dinamica Plus ECAM380.85.SB,2899.99,2899.99₾,1999.99,1999.99₾,1999.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t?page=2,ELITE,2
24,Delonghi Eletta Explore Silver ECAM450.65.G,3299.99,3299.99₾,2499.99,2499.99₾,2499.99,True,2025-10-13 11:27:57,https://ee.ge/en/coffee-machine/brand=delonghi;-c201t?page=2,ELITE,2
