index,name,regular_price,regular_price_str,discount_price,discount_price_str,final_price,has_discount,scraped_at,url,store
1,Coffee Machine DeLonghi ECAM310.60.B,2599.99,2599.99,1799.99,1799.99,1799.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
2,Coffee Machine DeLonghi ECAM320.70.TB,2699.99,2699.99,1899.99,1899.99,1899.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
3,Coffee Machine DeLonghi EXAM440.55.B,2999.99,2999.99,2099.99,2099.99,2099.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
4,Coffee Machine DeLonghi EC890.GR,849.99,849.99,599.99,599.99,599.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
5,Coffee Machine DeLonghi EC9455.M,2599.99,2599.99,1799.99,1799.99,1799.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
6,Coffee Machine DeLonghi EC885.GY Gray,999.99,999.99,699.99,699.99,699.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
7,Coffee Machine DeLonghi EC890.M,849.99,849.99,599.99,599.99,599.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
8,Coffee Machine DeLonghi DL ECAM630.75.TSM,5099.99,5099.99,3569.99,3569.99,3569.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
9,Coffee machine Delonghi EXAM440.55.W,2999.99,2999.99,2099.99,2099.99,2099.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
10,Coffee machine Delonghi ECAM610.75.MB,5159.99,5159.99,3799.99,3799.99,3799.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
11,Coffee Machine DeLonghi ECAM21.117.W,1699.99,1699.99,1189.99,1189.99,1189.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
12,Coffee Machine DeLonghi ECAM46.860.B,3699.99,3699.99,2299.99,2299.99,2299.99,True,2025-10-11 10:47:21,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
