index,name,regular_price,regular_price_str,discount_price,discount_price_str,final_price,has_discount,scraped_at,url,store
1,"Shop By
Price
Manufacturer
DeLonghi (28)
Philips (5)
Bosch (3)
Krups (2)
Braun (1)
ETA (1)
Control Type
Electric / Sensor (17)
Mechanical (7)
Buttons (3)
Electronic / Mechanical (1)
Power
1300 W (3)
1450 W (24)
1550 W (1)
Color
Silver (8)
Black (5)
Black/Silver (5)
Gray (4)
Silver/Black (2)
White (2)
Beige (1)
Green (1)
Americano
Cappuccino
Iced Coffee
Capacity of the Coffee Container
Warranty
Maximum Height of Cup
In 2 hour - 0 ₾
Coffee Machine DeLonghi EC890.GR
-35%
849.99₾
549.99₾
0% 6 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi EC9455.M
2,599.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi EC885.GY Gray
-30%
999.99₾
699.99₾
0% 6 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi EC890.M
-29%
849.99₾
599.99₾
0% 12 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi DL ECAM630.75.TSM
-29%
5,099.99₾
3,599.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee machine Delonghi EXAM440.55.W
-33%
2,999.99₾
1,999.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee machine Delonghi ECAM610.75.MB
-26%
5,159.99₾
3,799.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM21.117.W
-200 ₾
1,699.99₾
1,499.99₾
0% 6 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM46.860.B
-35%
3,699.99₾
2,399.99₾
0% 12 m
In 2 hour - 0 ₾
Coffee machine Delonghi ECAM220.60.B
-30%
1,999.99₾
1,399.99₾
0% 6 m
In 2 hour - 0 ₾
Coffee Machine Delonghi ECAM450.55.S
-30%
3,299.99₾
2,299.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM450.65.G
-27%
3,299.99₾
2,399.99₾
0% 12 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM350.50.B
-31%
2,599.99₾
1,799.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi EXAM440.55.G
-33%
2,999.99₾
1,999.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM250.33.TB
-35%
1,999.99₾
1,299.99₾
0% 12 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi EXAM440.55.BG
-33%
2,999.99₾
1,999.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi EC950.M METAL
-29%
1,399.99₾
999.99₾
0% 12 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM320.61.G
-31%
2,599.99₾
1,799.99₾
0% 12 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM610.55.SB
-32%
4,099.99₾
2,799.90₾
0% 12 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM380.95.TB
-30%
2,999.99₾
2,099.99₾
0% 6 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM220.22.GB
-32%
1,899.99₾
1,299.99₾
0% 6 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM450.86.T
-30%
3,799.99₾
2,659.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM350.55.B
-30%
2,649.99₾
1,859.99₾
0% 12 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM290.61.B
-30%
2,099.99₾
1,469.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi EC 685.M
-31%
799.99₾
549.99₾
0% 12 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi EPAM960.75.GLM
-31%
8,699.99₾
5,999.99₾
0% 18 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi EC 685.BK
-31%
799.99₾
549.99₾
0% 12 m
In 2 hour - 0 ₾
Coffee Machine DeLonghi ECAM610.74.MB
-22%
4,299.99₾
3,349.99₾
0% 12 m",849.99,849.99₾,,,849.99,False,2025-10-07 14:39:28,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
2,In 2 hour - 0 ₾,849.99,849.99₾,,,849.99,False,2025-10-07 14:39:37,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
3,In 2 hour - 0 ₾,2599.99,"2,599.99₾",,,2599.99,False,2025-10-07 14:39:50,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
4,In 2 hour - 0 ₾,999.99,999.99₾,,,999.99,False,2025-10-07 14:39:59,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
5,In 2 hour - 0 ₾,849.99,849.99₾,,,849.99,False,2025-10-07 14:40:08,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
6,In 2 hour - 0 ₾,5099.99,"5,099.99₾",,,5099.99,False,2025-10-07 14:40:17,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
7,In 2 hour - 0 ₾,2999.99,"2,999.99₾",,,2999.99,False,2025-10-07 14:40:26,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
8,In 2 hour - 0 ₾,5159.99,"5,159.99₾",,,5159.99,False,2025-10-07 14:40:36,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
9,In 2 hour - 0 ₾,1699.99,"1,699.99₾",,,1699.99,False,2025-10-07 14:40:45,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
10,In 2 hour - 0 ₾,3699.99,"3,699.99₾",,,3699.99,False,2025-10-07 14:40:54,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
11,In 2 hour - 0 ₾,1999.99,"1,999.99₾",,,1999.99,False,2025-10-07 14:41:03,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
12,In 2 hour - 0 ₾,3299.99,"3,299.99₾",,,3299.99,False,2025-10-07 14:41:12,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
13,In 2 hour - 0 ₾,3299.99,"3,299.99₾",,,3299.99,False,2025-10-07 14:41:22,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
14,In 2 hour - 0 ₾,2599.99,"2,599.99₾",,,2599.99,False,2025-10-07 14:41:31,https://kontakt.ge/en/samzareulos-teknika/samzareulos-tsvrili-teknika/qavis-aparatebi?kh_mtsarmoebeli=DeLonghi,KONTAKT
