name,price,regular_price,discount_price,has_discount,url,source
DELONGHI ECAM21.117.W,999.0,1999.0,999.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam21117w.html,VEGA_GE
DELONGHI MAGNIFICA S ECAM22.110.SB,999.0,1719.0,999.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-s-ecam22110sb.html,VEGA_GE
DELONGHI ECAM22.114.B,1189.0,1762.0,1189.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam22114b.html,VEGA_GE
DELONGHI MAGNIFICA S ECAM21.117.B,1189.0,2019.0,1189.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-s-ecam21117b.html,VEGA_GE
DELONGHI MAGNIFICA S ECAM12.121.B,1199.0,1429.0,1199.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-s-ecam12121b.html,VEGA_GE
DELONGHI MAGNIFICA START ECAM220.22.GB,1199.0,1429.0,1199.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-start-ecam22022gb.html,VEGA_GE
DELONGHI MAGNIFICA START ECAM220.31.SB,1329.0,1899.0,1329.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-start-ecam22031sb.html,VEGA_GE
DELONGHI MAGNIFICA EVO ECAM290.31.SB,1399.0,2129.0,1399.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-evo-ecam29031sb.html,VEGA_GE
DELONGHI MAGNIFICA S ECAM250.31.SB,1399.0,2199.0,1399.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-s-ecam25031sb.html,VEGA_GE
DELONGHI MAGNIFICA START ECAM220.60.B,1399.0,1999.0,1399.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-start-ecam22060b.html,VEGA_GE
DELONGHI ECAM290.61.B,1469.0,2099.0,1469.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam29061b.html,VEGA_GE
DELONGHI ECAM290.61.SB,1469.0,2099.0,1469.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam29061sb.html,VEGA_GE
DELONGHI MAGNIFICA EVO ECAM290.81.TB,1509.0,2149.0,1509.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-evo-ecam29081tb.html,VEGA_GE
DELONGHI DINAMICA ECAM350.55.B,1859.0,2649.0,1859.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-dinamica-ecam35055b.html,VEGA_GE
DELONGHI MAGNIFICA PLUS ECAM320.70.TB,1859.0,2649.0,1859.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-plus-ecam32070tb.html,VEGA_GE
DELONGHI DINAMICA ECAM350.50.B,1899.0,2719.0,1899.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-dinamica-ecam35050b.html,VEGA_GE
DELONGHI DINAMICA PLUS ECAM380.85.SB,1999.0,2859.0,1999.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-dinamica-plus-ecam38085sb.html,VEGA_GE
DELONGHI RIVELIA EXAM440.35.B,2099.0,2999.0,2099.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44035b.html,VEGA_GE
DELONGHI RIVELIA EXAM440.35.W,2099.0,2999.0,2099.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44035w.html,VEGA_GE
DELONGHI RIVELIA EXAM440.55.B,2099.0,2999.0,2099.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44055b.html,VEGA_GE
DELONGHI RIVELIA EXAM440.55.BG,2099.0,2999.0,2099.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44055bg.html,VEGA_GE
DELONGHI RIVELIA EXAM440.55.G,2099.0,3289.0,2099.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44055g.html,VEGA_GE
DELONGHI RIVELIA EXAM440.55.W,2099.0,3299.0,2099.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44055w.html,VEGA_GE
DELONGHI RIVELIA EXAM441.55.GR,2229.0,3289.0,2229.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-rivelia-exam44155gr.html,VEGA_GE
DELONGHI ELETTA CAPPUCCINO EVO ECAM46.860.B,2289.0,3279.0,2289.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-eletta-cappuccino-evo-ecam46860b.html,VEGA_GE
DELONGHI ELETTA EXPLORE ECAM450.55.S,2299.0,3299.0,2299.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-eletta-explore-ecam45055s.html,VEGA_GE
DELONGHI ELETTA EXPLORE ECAM450.65.G,2309.0,3299.0,2309.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-eletta-explore-ecam45065g.html,VEGA_GE
DELONGHI ELETTA EXPLORE ECAM450.65.S,2309.0,3299.0,2309.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-eletta-explore-ecam45065s.html,VEGA_GE
DELONGHI MAGNIFICA PLUS ECAM320.61.G,2599.0,3719.0,2599.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-magnifica-plus-ecam32061g.html,VEGA_GE
DELONGHI ELETTA EXPLORE ECAM450.86.T,2659.0,3799.0,2659.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-eletta-explore-ecam45086t.html,VEGA_GE
DELONGHI DINAMICA PLUS ECAM380.95.TB,2699.0,3799.0,2699.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-dinamica-plus-ecam38095tb.html,VEGA_GE
DELONGHI ELETTA CAPUCHINO ECAM44.660.B,3249.0,4649.0,3249.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam44660b.html,VEGA_GE
DELONGHI PRIMADONNA AROMATIC ECAM630.55.SSM,3499.0,4999.0,3499.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-primadonna-aromatic-ecam63055ssm.html,VEGA_GE
DELONGHI PRIMADONNA AROMATIC ECAM630.75.TSM,3599.0,5099.0,3599.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-primadonna-aromatic-ecam63075tsm.html,VEGA_GE
DELONGHI PRIMADONNA SOUL ECAM610.74.MB,3599.0,5149.0,3599.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-primadonna-soul-ecam61074mb.html,VEGA_GE
DELONGHI PRIMADONNA SOUL ECAM610.55.SB,4199.0,5999.0,4199.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-primadonna-soul-ecam61055sb.html,VEGA_GE
DELONGHI MAESTOSA EPAM960.75.GLM,6089.0,8699.0,6089.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-maestosa-epam96075glm.html,VEGA_GE
DELONGHI ECAM21.117.SB,1399.0,1999.0,1399.0,True,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam21117sb.html,VEGA_GE
DELONGHI ECAM22.110.SB,1999.0,1999.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-ecam22110sb.html,VEGA_GE
DELONGHI DL ECAM450.55.S,3299.0,3299.0,,False,https://vega.ge/en/kitchen-house/coffee-machines/coffee-machines-automatic-delonghi-dl-ecam45055s.html,VEGA_GE
